sample_name	alias	group	platform	purity	n
CSDN47	motherpool	NA	ILLUMINA	NA	5
CSDN48	motherpool	NA	ILLUMINA	NA	5
CSDN49	motherpool	NA	ILLUMINA	NA	5
CSDN50	motherpool	NA	ILLUMINA	NA	5
CSDN51	motherpool	NA	ILLUMINA	NA	5
CSDN52	fatherpool	NA	ILLUMINA	NA	5
CSDN53	fatherpool	NA	ILLUMINA	NA	5
CSDN54	fatherpool	NA	ILLUMINA	NA	5
CSDN55	fatherpool	NA	ILLUMINA	NA	5
CSDN56	fatherpool	NA	ILLUMINA	NA	5
pF1	fatherpool	NA	ILLUMINA	NA	5
pM1	motherpool	NA	ILLUMINA	NA	5
pF2	fatherpool	NA	ILLUMINA	NA	5
pM2	motherpool	NA	ILLUMINA	NA	5
pF3	fatherpool	NA	ILLUMINA	NA	5
pM3	motherpool	NA	ILLUMINA	NA	5
pF4	fatherpool	NA	ILLUMINA	NA	5
pM4	motherpool	NA	ILLUMINA	NA	5
